Resolved local address:
  192.168.110.78
Using path:
  Hops: [64-2:0:2c 1>21 64-3303 1>17 64-559 24>1 64-2:0:2b] MTU: 1452 NextHop: 192.168.110.1:30042

PING 64-2:0:2b,192.168.111.1:0 pld=0B scion_pkt=144B
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=0 time=5.849ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=1 time=6.325ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=2 time=7.241ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=3 time=6.243ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=4 time=6.161ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=5 time=6.517ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=6 time=6.896ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=7 time=6.785ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=8 time=6.617ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=9 time=6.397ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=10 time=6.033ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=11 time=6.085ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=12 time=6.113ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=13 time=6.183ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=14 time=6.150ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=15 time=6.188ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=16 time=6.162ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=17 time=6.455ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=18 time=6.270ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=19 time=6.174ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=20 time=6.158ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=21 time=6.331ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=22 time=6.253ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=23 time=6.270ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=24 time=6.493ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=25 time=6.429ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=26 time=6.263ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=27 time=6.536ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=28 time=6.134ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=29 time=6.193ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=30 time=6.494ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=31 time=6.109ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=32 time=6.451ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=33 time=6.190ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=34 time=6.489ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=35 time=6.065ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=36 time=6.070ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=37 time=6.402ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=38 time=6.240ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=39 time=6.106ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=40 time=6.163ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=41 time=7.097ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=42 time=6.770ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=43 time=6.541ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=44 time=6.299ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=45 time=6.422ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=46 time=6.417ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=47 time=6.356ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=48 time=6.107ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=49 time=6.273ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=50 time=6.304ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=51 time=5.927ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=52 time=6.193ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=53 time=5.988ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=54 time=6.132ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=55 time=6.392ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=56 time=6.245ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=57 time=6.313ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=58 time=6.274ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=59 time=6.095ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=60 time=6.107ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=61 time=6.329ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=62 time=6.356ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=63 time=6.379ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=64 time=6.193ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=65 time=6.200ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=66 time=6.272ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=67 time=6.066ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=68 time=6.152ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=69 time=6.233ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=70 time=6.222ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=71 time=7.468ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=72 time=6.486ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=73 time=6.151ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=74 time=6.364ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=75 time=6.347ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=76 time=6.243ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=77 time=6.249ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=78 time=6.286ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=79 time=6.036ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=80 time=6.283ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=81 time=6.093ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=82 time=6.134ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=83 time=6.186ms
