Resolved local address:
  192.168.111.25
Using path:
  Hops: [] MTU: 1472 NextHop: <nil>

PING 64-2:0:2b,192.168.111.1:0 pld=0B scion_pkt=44B
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=0 time=0.535ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=1 time=3.023ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=2 time=2.686ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=3 time=1.846ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=4 time=1.313ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=5 time=5.555ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=6 time=1.726ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=7 time=1.272ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=8 time=2.163ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=9 time=1.314ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=10 time=1.380ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=11 time=2.730ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=12 time=3.294ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=13 time=3.460ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=14 time=1.225ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=15 time=1.423ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=16 time=2.530ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=17 time=2.051ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=18 time=1.407ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=19 time=3.421ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=20 time=1.230ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=21 time=3.295ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=22 time=1.379ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=23 time=3.290ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=24 time=2.562ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=25 time=3.375ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=26 time=3.206ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=27 time=1.685ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=28 time=2.723ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=30 time=3.041ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=31 time=1.433ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=32 time=3.417ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=33 time=1.831ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=34 time=4.016ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=35 time=3.229ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=36 time=3.250ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=37 time=1.348ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=38 time=2.130ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=39 time=3.568ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=40 time=2.906ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=41 time=3.312ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=42 time=5.996ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=43 time=3.134ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=44 time=3.316ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=45 time=3.566ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=46 time=3.687ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=47 time=3.141ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=48 time=2.953ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=49 time=5.290ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=50 time=3.389ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=51 time=1.846ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=52 time=3.495ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=53 time=3.325ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=54 time=3.533ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=55 time=3.402ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=56 time=2.562ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=57 time=3.319ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=58 time=3.689ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=59 time=3.507ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=60 time=3.200ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=62 time=3.588ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=63 time=3.350ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=64 time=3.314ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=65 time=1.418ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=66 time=3.267ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=67 time=3.454ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=68 time=3.334ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=69 time=3.398ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=70 time=1.551ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=71 time=3.432ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=72 time=3.560ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=73 time=3.553ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=74 time=3.745ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=75 time=3.205ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=76 time=3.194ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=77 time=5.108ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=78 time=1.505ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=79 time=3.184ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=80 time=3.507ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=81 time=3.354ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=82 time=1.401ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=83 time=0.855ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=85 time=2.921ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=86 time=5.506ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=87 time=4.097ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=88 time=2.771ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=89 time=3.208ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=91 time=3.108ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=92 time=3.355ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=93 time=3.199ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=94 time=3.336ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=95 time=3.129ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=96 time=3.071ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=97 time=2.822ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=98 time=0.953ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=99 time=1.298ms

--- 64-2:0:2b,192.168.111.1 statistics ---
100 packets transmitted, 96 received, 4% packet loss, time 101003.154ms
rtt min/avg/max/mdev = 0.535/2.875/5.996/1.061 ms
